ImageID,Labels,Caption
124.jpg,8 1 18,A person on a four-wheeler herding sheep in the snow.
451.jpg,1 3 4,A motorcycle with a side park parked on dry grass.
28296.jpg,1,A young man rides a skateboard on a ramp.
1606.jpg,10,A red traffic signal sitting under  street light.
17075.jpg,8 9 6,"A model ship yard, with boats, trucks, and a bridge."
14969.jpg,16 1,A plate and a glass that are sitting on a table.
23036.jpg,3 1 11,A yellow fire hydrant sitting on a sidewalk next to a building.
14217.jpg,1,A group of young men standing next to each other in uniform.
29197.jpg,1 6,A person in a hooded coat stands by a bus.
14514.jpg,1,a man is pulling luggage through a doorway
29977.jpg,8 1 10 3,Four boys near a fence with their foot on their skateboards.
15885.jpg,10,a lot of street signs and street lights  in front of a building
6753.jpg,8 10,A Lego scene of a town with a police car and other vehicles and characters.
15013.jpg,1 3 4 6 8 10,a couple of motorcycles that are going down the road
14476.jpg,7,A passenger train traveling past a farm in rural countryside.
24435.jpg,1,A man skiing through a snow-covered street area
25236.jpg,1,A group of people singing and a couple of men playing guitar.
6377.jpg,5,a toy plane flies over a grass land
22873.jpg,1,A man riding a skateboard down the side of a graffiti covered ramp.
8094.jpg,1,"A boy throwing a Frisbee at the park, and a man reading in the back ground"
21618.jpg,1,A woman uses her laptop on a table.
12290.jpg,19,A herd of cattle standing on top of a green field.
19658.jpg,1,A man who is swinging at a pitch during a baseball game.
26158.jpg,1,there is a young man playing with a soccer ball
19200.jpg,1,A man in his ski gear is high in the air.
24980.jpg,1,A man with facial hair is talking on the phone.
13044.jpg,1 9,A girl riding in a raft on a lake surrounded by mountains.
2081.jpg,1 5,A large white airplane on a open lot.
15260.jpg,1 3 4 8 10,A Santa Clause riding on the back of a black motorcycle.
23879.jpg,9,An old boat is parked on a gravel beach.
20051.jpg,1,A parade of donkeys walking up a street.
18430.jpg,1 15,A baby elephant standing next to a water pond at a zoo.
6419.jpg,1,Several different pieces of luggage on a bright red carpet.
170.jpg,1,two female friends share a chocolate covered doughnut
26493.jpg,8,A green army medical truck sitting on display in a museum.
11044.jpg,1 3 6,A tour bus in middle of a parking lot.
13702.jpg,5,A bunch of jets that are flying in the sky.
2090.jpg,1 3,A crowd of people sitting down next to each other.
15236.jpg,1 10,A city street crowded with people with umbrellas
8358.jpg,1 5,A U.S. Air Force jet flies low to the ground with its wheels down.
24434.jpg,1,A man riding a wave on top of a surfboard.
24656.jpg,1,A group of children playing a game of soccer.
7880.jpg,1,Three elephants walk in a line on cement.
11007.jpg,1,A young lady riding a skateboard past orange traffic cones.
7469.jpg,1,People walking carrying surfboards along the shore at the ocean
24162.jpg,19,A group of brown horses walking next to each other on a lush green field.
8952.jpg,8 1 3 5,Attendants are walking near a huge parked airplane.
11399.jpg,1,A bunch of men holding beers getting ready to celebrate.
10091.jpg,1 3 14,A flock of sheep disrupt traffic on a city street.
23594.jpg,8 1 3,A white pickup truck parked in a parking space
6498.jpg,10 2 3,a number of cars parked on a city curb
27524.jpg,1,A group of men standing on top of a snow covered slope.
14733.jpg,16 9,A boat named Dirty Dog has two seagulls sitting on it.
21576.jpg,17 1,A small kitten sitting next to an open laptop computer.
17037.jpg,1,A man and woman standing next to a bunch of colorful umbrella.
3509.jpg,1,Kids in full winter gear sitting in the snow next to skis.
7640.jpg,1,a snowboarder attempting a jumping trick with his board
25386.jpg,8 1 3 4,A man riding a motorcycle with an American flag flying from it.
12678.jpg,1 3,A woman swinging a racquet at a tennis ball.
12930.jpg,1,a close up of a woman in pigtails a shirt and tie
22383.jpg,1,A woman drinking from a glass while wearing glasses.
19779.jpg,1,A boy is standing in front of a soccer ball.
17518.jpg,1,A little boy blowing out the candles on his birthday cake.
5998.jpg,1 10 3 13,A group of people standing around a stop sign.
3.jpg,8 3 13,a black and silver clock tower at an intersection near a tree
15569.jpg,1,A young man working on a laptop he is holding in his lap.
1632.jpg,1 2,An erotically dressed woman standing on a beach holding an umbrella.
18115.jpg,1 15,A sculpture of a cow sits on a platform.
22959.jpg,16,Two birds sit on a branch surrounded by green leaves.
7569.jpg,1,A skier skiing over a snowy hill on a mountain.
17036.jpg,5,A black and white picture of an old airplane
24875.jpg,17,A cat standing on top of a refrigerator.
16445.jpg,16,A black and white photo of a crane standing in the water across from a city.
27154.jpg,10,A two story white house behind a pair of traffic signals.
3393.jpg,15,A bench and a small lake in a grassy park area.
18760.jpg,1 4,A scooter sits parked in a meat market.
466.jpg,1,the baseball player is swinging the bat
10054.jpg,1,A person is riding a wave out in the water.
19421.jpg,1 5,A person guiding a plane in to landing as hoses spray stuff.
11909.jpg,8 10 3,Jeep driving down the street with no traffic around it towards the green light
29046.jpg,1,A man riding skis down a snow covered slope.
23992.jpg,1,A pretty young lady eating a slice of pizza.
9807.jpg,1,A woman holding a large clock on top of her lap.
19000.jpg,16 9,a bird on top of a small boat
4338.jpg,11,a roller coaster going through an entrance and around a building
10580.jpg,1 2 3 8 11,a city street with cars street lamps signs and a red fire hydrant
17328.jpg,5,An air plane is traveling high in the gloomy clouds.
22584.jpg,1,A photo taken on a mass transit vehicle with people sitting on seats.
3628.jpg,1,The bride and groom are covered in cake.
7793.jpg,1,a kid does a trick on a skate board
17689.jpg,1,A baseball player is preparing to hit the ball while a crowd watches on.
10206.jpg,16,A bird sitting on top of a laptop computer keyboard.
22156.jpg,2 4,A white motorcycle parked on a sidewalk near a building.
15365.jpg,1,A man standing next to a giraffe on a  green field.
12157.jpg,1,A man holding a tennis racket on a court while people watch from the stands.
5676.jpg,1,A young boy wearing a shirt and tie standing in front of a garage door.
11034.jpg,8 1 10 3,A giant billboard for IZOD next to a very tall building.
15914.jpg,1,The man's image is showing on the computer screen.
28844.jpg,1,A man looking at the selections in a wine store
22923.jpg,3 1 11,A green fire hydrant sitting on a patch of leaf covered grass.
24228.jpg,1,Boy crouched on skateboard in air near top of paved basin.
8540.jpg,1 7,A grey train in train station with people standing around.
20841.jpg,1,A smiling man standing near some trees using a cell phone.
7092.jpg,1,some people are sitting under umbrellas at the beach
27224.jpg,1 2 3 6 8 10 18,a dog standing on a bike seat as a man rides down the road
20472.jpg,1,a bunch of people play a game of frisbe in a park area
28676.jpg,18 4,A dog sits in the side car of a motorcycle.
8914.jpg,1,A man peeks over the shoulder of his friend
844.jpg,1,A man in a yellow shirt brushing his teeth.
24257.jpg,1 18,A man driving a farm vehicle with a dog on it following sheep.
16594.jpg,9 1,A man laying on a beach under a blue umbrella.
16496.jpg,1 15,a persons feet and one other person water and some umbrellas
10030.jpg,1,a woman in camouflage saluting with a teddy bear
17941.jpg,17 3 1,Decals on the side of a car show one large cat and four small cats
7665.jpg,16,A blue jay is perched on a branch with the green foliage of the canopy in the background.
6503.jpg,9 1,A nice sail boat in some choppy water.
3397.jpg,16,A flock of birds walking across a beach next to the ocean.
25366.jpg,17,An orange cat sitting on top of a piece of luggage.
1398.jpg,1 19,A man riding a horse next to a crowd of people.
8101.jpg,1,A close up of a man on a skateboard at a skate park.
4217.jpg,1 15,A group of people chase after a ball on a field.
28266.jpg,1,a person standing in the snow with some skiis on
26266.jpg,9 1,A group of people holding umbrellas inside a canoe.
7481.jpg,1,The girl tightly clutches the brown teddy bear.
10322.jpg,1,A man is shown at a table outside of Caffe Italia.
13791.jpg,1,A man sweeps the sidewalk in front of a rundown building.
11508.jpg,1 3 8 10 15,A bench with a painting on it near a truck.
16207.jpg,1,A woman leading a cow through a lush green field.
24563.jpg,1,A man holding a green bag above his head.
8932.jpg,8 3 14,A city street corner looking down the street
795.jpg,8 5,Planes are on the runway at an airport and one plane is Purolator.
8021.jpg,6,A double decker bus driving past a building.
22166.jpg,8 1 3 4,A motorcycle cop has pulled over a red truck.
7922.jpg,8 9 3 1,A red delivery truck sitting on top of snow covered ground.
19027.jpg,1 7,A vintage steam locomotive waits at a station.
23995.jpg,1,A group of people floating on top of waves in the ocean.
29460.jpg,1,A couple of men hiking up the side of a snow covered mountain.
6746.jpg,8 1,Youth baseball game in urban park setting with adults looking on.
25688.jpg,2 3,A green car is parked with luggage on top of it and behind.
6366.jpg,1,A farmer stands by his cows at the barn.
23294.jpg,1 4,A man and a younger boy are on a motorcycle
28043.jpg,1,The baby girl is brushing her teeth while sitting on the toilet.
24628.jpg,1,Someone rides their snowboard down a snowy hill.
23158.jpg,1,A skier is on top of a snowy mountain.
20511.jpg,1,A skate boarder doing tricks in a backyard.
9014.jpg,8 1 5,An airplane is parked at the airport for maintenance.
24913.jpg,8 1 3 7,people walking and standing around a passenger train
19599.jpg,5,The view from the airplane shows bits of snow on a mountain.
22076.jpg,1,A group of people standing next to each other in a hallway.
16417.jpg,17,A cat lies on the keyboard of a laptop.
10989.jpg,1,A man holding a large kite near the ocean.
16424.jpg,1 3,Some people flying kites as others watch them
11117.jpg,6,A city bus stopped at a bus stop next to a building.
24108.jpg,17,A cat sitting on a suitcase that is on the floor.
26032.jpg,1,A man holding a camera up to a mirror.
4335.jpg,1,A man holding a snowboard in the snow.
13953.jpg,5,a jet airplane in the sky above some trees
4550.jpg,18,A small white dog standing in a living room filled with furniture.
9897.jpg,1,View of a cake and someone lighting the candles.
3693.jpg,1,A woman with a blue umbrella walks contemplatively along the rocky shore.
17155.jpg,1 4,Three motorcycles racing around a curving track in different positions.
8193.jpg,1,Some people are skateboarding on the street with their hands.
27549.jpg,1 18 3,A man is petting a lamb in the park.
20138.jpg,5,An airplane is taking off from an airport.
10329.jpg,17,a desk with three computer monitors and a keyboard
21324.jpg,1,a person sitting on a couch typing on a laptop
11398.jpg,1 9,A man stands above another man sitting in a boat on the water.
14975.jpg,1,A group of young children sitting next to each other.
4610.jpg,1,people standing near the top of a snowy hill
14664.jpg,1,this is people looking at a giraffe at the zoo
21193.jpg,3 4,Two customized motorcycles parked at the curb on city street.
21752.jpg,1,A kid is trying to hit a tennis ball with a racket.
25327.jpg,8 3 5,An airplane is taking off at the airport.
28728.jpg,1 3,A man goes through oranges in crates at an outdoor market.
8729.jpg,1,a tennis player swinging a racket to hit a ball
28014.jpg,1,A man carrying crates of fruit on his back
7650.jpg,1,A group of people sitting around a table with glasses of wine.
4201.jpg,8 3,A small truck parked near a carnival ride.
4191.jpg,1,Two people doing something fun inside a place.
11812.jpg,1,A couple of kids sitting in front of a dinner table.
11449.jpg,9 1,Two people sitting on a dock with a boat in the background.
9291.jpg,1,A person playing a game with a remote controller.
29979.jpg,1,there are two skiers posing for a picture together
8796.jpg,1,A woman getting ready to serve the ball in a tennis competition.
11827.jpg,1,A bald man on a couch cuts paper with a pair of scissors.
3784.jpg,1,A ma is sitting at a dining table eating a meal.
9676.jpg,15,An artsy decorated waterfall on a circle of grass.
11132.jpg,18,The two cows were being corralled by a very small dog.
22558.jpg,1,Two skiers posing on a snow covered slope.
9571.jpg,1 18 4,A guy on a very cool looking scooter by the road.
25778.jpg,8 1,A woman is setting a cake in front of a girl.
26544.jpg,1,A man stands on a tennis court in dress clothes.
22533.jpg,1,A surfer rides the waves in the ocean.
12017.jpg,1,The man smiles with his snowboard next to him.
22690.jpg,1,an image of a man playing on a skateboard
26564.jpg,15,An upclose view of water droplets on a bench.
6517.jpg,3 13,The brown car is parked next to the street signs on the wall.
5359.jpg,1 15,A woman holding a racquet and drinking a bottle of water.
2909.jpg,1,A man and woman are giving each other ice cream.
14875.jpg,1 7,A red train on tracks next to building with people
11389.jpg,1,A man takes a swings at a tennis ball on a court
21831.jpg,3 6,A purple double decker bus driving past a van near a building.
3416.jpg,1,A mug under three spoons filled with a brown mix.
21678.jpg,2 11,There is a bike at the corner of a building by a fire hydrant
27163.jpg,17,The two cats are lying on the desk together
28921.jpg,1,"A woman, man, and child are playing a game together."
21764.jpg,1 7,A person walking along a train platform.
11178.jpg,8 9 4,A couple of motorcycles parked on a dirt field.
14601.jpg,16,a barn owl takes a bath in a body of water.
759.jpg,1,A man sits in a chair next to a woman who is holding a child.
21200.jpg,1,A man cutting a yellow trash bag with his foot on a stool.
7102.jpg,1 3,A group of people standing around a street next to buildings.
24920.jpg,1 7 15,A passenger train that is pulling into a station.
1788.jpg,7,A train traveling over a bridge next to lots of trees.
27545.jpg,1 2 3,A line of bikes are in a bike rack on a brick area.
26637.jpg,1 18,A man gets ready to throw a Frisbee.
22155.jpg,5,An airplane is taking off of a runway.
23304.jpg,1,A white table topped with fruit and tools near two kids.
1350.jpg,17,A tan can lays on an old pair of brown shoes.
14627.jpg,1,The woman is cutting labels  and  studying receipts.
19408.jpg,1 3,A yellow sign that is on a sidewalk.
24389.jpg,1 18,a man is cutting a big turkey
8622.jpg,1,The young woman is looking at her cel phone.
25750.jpg,1,a girl with an umbrella in the rain
15991.jpg,1,A young girl riding skis at the ski slope.
19762.jpg,1 18,Dog appearing to be viewing television set on floor
8316.jpg,1,Pizza pie looks ready to be served after a person wearing a white apron has cooked it.
26713.jpg,1,A woman standing next to a man while holding flowers.
27898.jpg,1,Two men on skis are suspended in the air.
2361.jpg,1 4,A cow standing in an alley way in a city.
1402.jpg,1,A group of people gathered around a table making pizza.
25083.jpg,9 2 1,A boat floating on top of a lake next to a shoreline.
26890.jpg,1,Two men standing in a kitchen cooking food.
15081.jpg,1,A man walks past a drawing of a toaster on a street wall.
12723.jpg,1,A young man is posing with an elephant calf.
17415.jpg,1,A person in a hat is eating a piece of pizza.
21703.jpg,17,A tortoise shell cat is lounging near the window.
25641.jpg,1 3 7,Blue and white train sitting at a station with no people.
6424.jpg,1,a man wearing a red shirt is playing a tennis game
70.jpg,1,A man on a surfboard in the water.
5507.jpg,1,A person standing on top of a ski slope in ski equipment.
18364.jpg,1,A row of men on street eating hotdogs in wrapping paper.
27623.jpg,7,"The train is red, black   and grey in color"
1879.jpg,1 15,A man in a green shirt and white shirt playing a game of tennis
8288.jpg,5,A formation of airplanes flying through a cloudy sky.
21406.jpg,1,Two individuals riding the skis through the slopes.
14741.jpg,1,A group of men that are standing together.
21155.jpg,1,A man with a glove that is in the dirt.
26080.jpg,13,A stop sign attached to a tree in the middle of a lake.
10543.jpg,1,A person flying through the air while riding a snowboard.
19269.jpg,15,"Town square decorated for the Christmas season with a large lighted tree and a Merry Christmas"" banner."""
4558.jpg,8 1 10 3,Pedestrians walking along a sidewalk near a large number of buildings.
18411.jpg,5,this is a plane flying above a rusty bridge
23777.jpg,1,A young child riding a snowboard down a snow covered slope.
22479.jpg,1,A man and woman typing on their laptops.
5503.jpg,1 7,A man working on a train in a station.
2206.jpg,1 2 4 6,People standing beside motorcycles watching a man ride a bike ahead of a bus.
1809.jpg,8 1 5,Employees working in an airport transferring baggage from the airplane to the carts.
24279.jpg,1,A man reads an ebook sitting under an umbrella at the beach.
16757.jpg,13,A red stop sign sitting on top of a wooden pole below a moon filled sky.
28139.jpg,1,a person sitting on a ledge with a skateboard
28213.jpg,1,A woman with a flower in her hair holding up an umbrella.
5099.jpg,1,a snow boarder is snowboarding down a snowy hill
17054.jpg,1 19,A man riding a brown horse over an obstacle.
29701.jpg,8 1 5,An airport with a large white passenger jet sitting on a tarmac.
2442.jpg,1 4 15,A group of young people playing a game of soccer.
26268.jpg,1,A bar with a blender full of yellow liquid.
13987.jpg,1,a house decorated with colorful kites and pinwheels
5123.jpg,8 1,A very big blue shiny garbage truck on the road.
2220.jpg,1,"A woman standing in the middle of a room, in a black and white photo."
6245.jpg,7,A train is on the tracks next to a stone wall and a bluff.
18347.jpg,16 1,"Hand with corn kernel feeding pigeon on hand, several other pigeons on stone tiled ground."
222.jpg,1,A baseball player swinging a baseball bat over home plate.
12137.jpg,5,An airplane flying in the sky above a fenced in area with a sign on the gate door.
655.jpg,1,A woman has fallen on the ground in a field.
17084.jpg,7,A train traveling on train tracks on a mountain.
23209.jpg,1 3 7,a train on an elevated track over a body of water
19682.jpg,1 5,A large airplane sitting on top of an airport tarmac.
9237.jpg,1 2,"Street image of bicycles, probably somewhere in Europe."
322.jpg,1,A woman standing at a table covered in desserts.
9997.jpg,1,A man doing competitive cross country skiing in the woods.
13784.jpg,1 15,three baseball players pose for the camera with their bats held over their shoulders
7784.jpg,10 6,A night scene of a secluded  street with nearby parking garage
5144.jpg,1,A woman that is lying down on a blue blanket.
14920.jpg,8 6,A bus that is parked inside of a building.
21933.jpg,1,a shopping mall with thousands of umbrellas suspended from the ceiling
9375.jpg,8 1 19 15,A man eating at a table with a horse looking over a fence
8478.jpg,5,A passenger jet is flying in mostly clear skies
29709.jpg,1 4,Two men speaking to each other standing under a large umbrella.
17080.jpg,1,People on a beach at dusk flying kites.
15144.jpg,1,A man riding skis down a snow covered ski slope.
6010.jpg,1,A slice of pizza on a plate next to a garlic role.
13449.jpg,1,Person riding a skate board down the stair railing.
9891.jpg,1,A baseball player swinging a bat on top of a field.
6455.jpg,1 3 4 8 10 11,A couple of motor bikes on a city street.
5731.jpg,1 3 14,A row of people eating slices of pizza at tables.
369.jpg,1,Mid-air shot of men playing sports indoors in front of an audience.
20848.jpg,4,"A blue, yellow and white motorcycle parked at a gas station."
22820.jpg,1,people standing around an elephant with flowers painted on it
4121.jpg,1 2 3 4,A man walking next to a person on a motorcycle.
23949.jpg,18,Two dogs sitting on a loveseat looking down at the floor.
8241.jpg,1 4 6,Two beautiful young ladies sitting on a motorcycle with a side car.
16073.jpg,8 1 6,A blue small bus driving down a street next to a tall building.
25656.jpg,1,A woman in a black bikini in a bathtub.
22414.jpg,1,these people are sitting in a wooden living room
9086.jpg,1,A woman holding up toothbrushes in a  store.
26948.jpg,18,Spotted dog jumps up to catch the frisbee
1131.jpg,1 3 6,A large pink bus is in front of another green one.
2265.jpg,1,A man wearing a grey tshirt in a kitchen with wood paneling
6137.jpg,1,a kid on a boogie board in the ocean
28833.jpg,1 15,A group of women holding umbrellas near a cactus field.
5306.jpg,1 15,A woman holding a white plate with lots of carrots on it.
373.jpg,1 18 15,Man and dog sitting on a park bench together.
4528.jpg,1,A man is serving himself a glass of wine from a spicket.
9469.jpg,1,A man swinging a baseball bat during a baseball game.
22364.jpg,1 4,A man is jumping a dirtbike on a dirt track.
10646.jpg,1,A young man riding a skateboard in a parking garage.
25917.jpg,17,A thin cat leaning on the dashboard of a car
26313.jpg,1,Two people flying a kite in a park
8647.jpg,1,Three boys line up dressed in their baseball uniforms
14304.jpg,18,A little puppy on the leg of a large teddy bear.
20762.jpg,1,A man sitting at a table in front of a glass of wine.
28819.jpg,1 3 8 10 11,A silver truck driving past a giant arch from a mcdonalds.
5638.jpg,1,A man putting a head dress on top of another mans head.
2075.jpg,1,A baseball player in yellow and white holds a bat while players in blue and white surround him on a baseball field.
14432.jpg,1 19,Two people that are riding horses while people watch.
21471.jpg,1 4,a black and white photo of a person riding a dirt bike
27519.jpg,17,A large fluffy cat sitting on top of a computer .
5963.jpg,1,a banana with a cut made in to it
27735.jpg,1,people sitting around in a living room with some holding onto wii motes
2916.jpg,1,Several people are sitting on a row while using electronic devices.
12216.jpg,5,A small plate sitting on top of a wooden deck.
1418.jpg,1,A plethora of hotdogs are stacked on a table along with shots.
13215.jpg,10 3,A car behind another car at night time.
12939.jpg,1 2 3 6 8,A couple riding bicycles in a RV park turn to look at something out of frame.
11679.jpg,17,An adorable cat laying on top of a table next to a remote control.
16839.jpg,1 10 3,A man walking down a street next to a woman.
26519.jpg,1,A woman on a tennis court ready for her opponent to send her the ball.
9920.jpg,1,Three tennis players engaged on an indoor tennis court.
27565.jpg,7,A close up of the front of an old locomotive.
25050.jpg,7,A blue Thomas the tank train parked in a field.
18206.jpg,8 1 3 14,Some cars are parked next to a skateboarder.
28345.jpg,1,A woman turns her face to look at the viewer while she squats in front of an open refrigerator.
115.jpg,1 18 17,A big cat and a small cat sitting down with their backs turned
10035.jpg,1,A black and white photo of two people drinking a glass.
